mat_number;item_description_1;item_description_2;mat017_group
MAT0170001;Werkzeug;Sitzkissen Atmungsaktiv  inkl. Rutsch-Sc;RC-D6
MAT0170002;Schraube, Linse;M6x16,A2,DIN 7985;RC-A5
MAT0170003;Schrumpfschlauch o. Kleber;schwarz 16,0 auf 8,0;RC-K8
MAT0170004;Schrumpfschlauch o. Kleber;grün - gelb 12,7 auf 6,4;RC-K8
MAT0170005;Schrumpfschlauch o. Kleber;schwarz 2,4 auf 1,2;RC-K8
MAT0170006;Werkzeug;Raustreiber;RC-D1
MAT0170007;Schrumpfschlauch o. Kleber;transparent 19,1 auf 9,5;RC-K8
MAT0170008;Schrumpfschlauch o. Kleber;schwarz 12,7 auf 6,4;RC-K8
MAT0170009;Schrumpfschlauch o. Kleber;orange 6,4 auf 2,1 (nicht bestellen);RC-K8
MAT0170010;Werkzeug;Raustreiber;RC-D1
MAT0170011;Schrumpfschlauch o. Kleber;schwarz 19,0 auf 9,5;RC-K8
MAT0170012;Schrumpfschlauch o. Kleber;grün - gelb 9,5 auf 4,8;RC-K8
MAT0170013;Schrumpfschlauch o. Kleber;schwarz 25,4 auf 12,7;RC-K8
MAT0170014;Schrumpfschlauch o. Kleber;schwarz 30,0 auf 16,0;RC-K8
MAT0170015;Werkzeug;Raustreiber;RC-D1
MAT0170016;Werkzeug;Steckschlüssel lang 7mm;RC-D1
MAT0170017;Schrumpfschlauch o. Kleber;schwarz 1,6 auf 0,8;RC-K8
MAT0170018;Schrumpfschlauch o. Kleber;schwarz 3,2 auf 1,6;RC-K8
MAT0170019;Schrumpfschlauch o. Kleber;schwarz 4,8 auf 2,4;RC-K8
MAT0170020;Kabeldose;Buchse 8pol.;RC-K2
MAT0170021;n. Muster;Länge=350;RC-D3
MAT0170022;n. Muster;Länge=350;RC-D3
MAT0170023;Gehäuse, Tülle;HAN 16B PG 21 Ger. K.-Ausg.;RC-K3
MAT0170024;Gehäuse, Tülle;HAN 16B PG 21 Seitl. K.-Au.;RC-K3
MAT0170025;Bolzen, Codier/Sperr;HAN A+B SPERRBOLZEN;RC-K5
MAT0170026;Kabeldose;M12, schirm, 4-6mm, 4pol, Buchse;RC-K2
MAT0170028;Verpackungsmaterial;Einweg Holz 2,7x1,0, Palette;RC-D5
MAT0170029;Verpackungsmaterial;Einweg Holz 2,0x1,0, Palette;RC-D5
MAT0170030;Verpackungsmaterial;Einweg Holz 2,2x2,2, Palette;RC-D5
MAT0170031;Isolierkörper;R2.5 17pol. Linksdr.;RC-K5
MAT0170032;Werkzeug;Komfort-Schutzbrille i-vo uvex;RC-D6
MAT0170033;Stecker, Rundverbinder;R2.5 D6 9,0-12,0mm;RC-K2
MAT0170034;Stecker, Rundverbinder xx;LS1 F6 9,0-14,0mm, 5+PE;RC-K2
MAT0170035;Stecker, Rundverbinder;Gr. 1,5, 2x0,75-2,5 4x6-16;RC-K2
MAT0170036;Stecker, Rundverbinder;Gr. 1,5, 2x1-2,5, 4x1,5-4;RC-K2
MAT0170037;Litze;H05V-VK 0,5 or;RC-L3
MAT0170038;Litze;H07V-K 4,0 gn-ge;RC-L3
MAT0170039;Litze;H07V-K 2,5 sw;RC-L3
MAT0170040;Litze;H07V-K 2,5 gn-ge;RC-L3
MAT0170041;Litze;H07V-K 6,0 gn-ge;RC-L3
MAT0170042;Litze;H07V-K 1,5 sw;RC-L3
MAT0170043;Litze;H07V-K 6,0 sw;RC-L3
MAT0170044;Litze;H05V-K 0,5 gr;RC-L3
MAT0170045;Siehe MAT0170268;2,5qmm / 8mm Rolle Farbe: blau;RC-K1
MAT0170046;Siehe MAT0170281;1,5mm² / 8mm Rolle Farbe: rot;RC-K1
MAT0170047;Siehe MAT0170273;0,5qmm / 8mm Rolle Farbe: orange;RC-K1
MAT0170048;Siehe MAT0170274;0,75qmm / 8mm Rolle Farbe: weiß;RC-K1
MAT0170049;siehe MAT0170279;1qmm / 8mm Rolle Farbe: gelb;RC-K1
MAT0170050;Schlauch Gewebe;m. Aufdruck 9x3mm;RC-S4
MAT0170051;Schlauch Pneumatik;Polyamid 11/12w 11x1,5x14+Code;RC-S3
MAT0170052;Werkzeug;Cuttermesser Bessey mit klappbarer Kling;RC-D1
MAT0170053;Schlauch Pneumatik;4,0x1,0x6,0+schwarz+Code;RC-S3
MAT0170054;Schlauch Pneumatik;2,7x0,65x4,0 Schwarz+Code;RC-S3
MAT0170055;Schlauch Pneumatik;Polyamid 11/12w 4,0x1,0x6,0+Code;RC-S3
MAT0170056;Schlauch Pneumatik;6x1x8 Schwarz +Code;RC-S3
MAT0170057;Werkzeug;Ersatzklingen-Set 10 teilig Trapezform T;RC-D1
MAT0170058;Markierer SSH;3PS-500-2W  SSH;RC-K8
MAT0170059;Markierer SSH;PS1000-2W  SSH;RC-K8
MAT0170060;Markierer SSH;3PS-375-2W SSH;RC-K8
MAT0170061;Farbband;Thermotransfer sw R-4301;RC-D6
MAT0170062;Selbstlaminierende Folie;THT-66-427-1,5;RC-D6
MAT0170063;Selbstlaminierende Folie;BP;RC-D6
MAT0170064;Selbstlaminierende Folie;T;RC-D6
MAT0170065;Selbstlaminierende Folie;THT;RC-D6
MAT0170066;Selbstlaminierende Folie;BPT-5;RC-D6
MAT0170067;Markierer SSH;PS500-150W  SSH;RC-K8
MAT0170068;Markierer SSH;PS250-150W  SSH;RC-K8
MAT0170069;Markierer SSH;PS500-150W, ws;RC-K8
