mat_number;supplier_item_number;supplier_id;quantity_amount;price_unit;amount
MAT01727138;636-981-015-130R121;7300090;0;0;4.18
MAT01727138;636-981-015-130R121;7300090;10;0;4.01
MAT01727942;3-643814-6;7300090;0;0;0.16
MAT01728905;654-MS3102E22-14S;7300090;0;0;25.8
MAT01729487;571-11782883;7300090;0;0;0.37
MAT01729487;571-11782883;7300090;25;0;0.349
MAT01729487;571-11782883;7300090;50;0;0.315
MAT01730307;568-NC3FXX;7300090;0;0;2.95
MAT01731813;571-14807070;7300090;0;0;0.24
MAT01731900;571-1-1903130-4;7300090;0;0;0.49
MAT01731900;571-1-1903130-4;7300090;100;0;0.417
MAT01735288;538-39-01-4043;7300090;0;0;0.55
MAT01735302;571-963208-1;7300090;0;0;0.43
MAT01737034;534-952;7300090;0;0;3.2
MAT01737034;534-952;7300090;10;0;3.2
MAT01737034;534-952;7300090;100;0;2.77
MAT01737115;571-1-968851-3-CT (Herst. Teilenr.: 1-96;7300090;0;0;0.29
MAT01738394;571-1782895 (Herst. Teilenr.: 178289-5;7300090;0;0;0.92
MAT01738394;571-1782895 (Herst. Teilenr.: 178289-5;7300090;25;0;0.898
MAT01738394;571-1782895 (Herst. Teilenr.: 178289-5;7300090;50;0;0.865
MAT01741005;0022013047;7300090;0;0;0.11
MAT01741007;538-39-01-2060;7300090;0;0;0.23
MAT01741552;571-1670865-1;7300090;0;0;0.98
MAT01742334;571-908001;7300090;0;0;176.85
MAT01742487;656-FI-C3-A1-15000;7300090;0;1000;0.03
MAT01742791;167-BNI12FBF12ASCPG9;7300090;0;0;20.5
MAT01742980;538-83424-9014;7300090;0;0;16.36
MAT01742980;538-83424-9014;7300090;10;0;15.19
MAT01742980;538-83424-9014;7300090;50;0;13.25
MAT01743069;NC3MD-LX;7300090;0;0;3.1
MAT01743571;571-666834;7300090;0;0;0.31
MAT01743571;571-666834;7300090;100;0;0.243
MAT01743571;571-666834;7300090;1000;0;0.175
MAT01744483;571-2170185-1;7300090;0;0;5.69
MAT01744483;571-2170185-1;7300090;500;0;3.79
MAT01744988;172767-0008;7300090;0;0;0.64
MAT01745093;538-33482-3601;7300090;0;0;2.05
MAT01745093;538-33482-3601;7300090;10;0;1.9
MAT01745093;538-33482-3601;7300090;100;0;1.64
MAT01745358;571-W4S-P012;7300090;0;0;0.31
MAT01745543;538-172709-0004;7300090;0;0;0.23
MAT01745871;798-HR2212TPD20S73;7300090;0;0;43.36
MAT01746363;538-50-84-1065;7300090;0;0;0.36
MAT01746363;538-50-84-1065;7300090;250;0;0.042
MAT01746363;538-50-84-1065;7300090;500;0;0.286
MAT01747243;571-1747501-2;7300090;0;0;0.6
MAT01747801;86303425LF;7300090;0;0;0.68
MAT01748051;654-MS24M23F;7300090;0;0;1.22
MAT01748103;1510AH;7300090;0;0;2.17
MAT01748464;654-PT06A-14-12S-SR;7300090;0;0;38.41
MAT01748485;1873391;7300090;0;0;8.06
MAT01748485;1873391;7300090;10;0;7.83
MAT01748485;1873391;7300090;50;0;7.32
MAT01748649;571-HD36-24-23PN-059;7300090;0;0;43.06
MAT01748820;132C11019X;7300090;0;0;3.04
MAT01748897;836-2603;7300090;0;100;10.8
MAT01749171;517-3357-9209;7300090;0;0;5.98
MAT01749425;644-PMNF6-5R-L;7300090;0;0;2.2
MAT01749429;798-HR10A-7P-6PC73;7300090;0;0;11.36
MAT01749881;571-1939991-2;7300090;0;0;0.13
MAT01750309;806-KPPX-4P;7300090;0;0;2.77
MAT01750581;164A10029X;7300090;0;0;6.98
MAT01750583;DB5W5SA00LF;7300090;0;0;1.85
MAT01750606;571-1-350779-9;7300090;0;0;0.3
MAT01750606;571-1-350779-9;7300090;100;0;0.264
MAT01750606;571-1-350779-9;7300090;500;0;0.252
MAT01750739;538-87421-0000-CT;7300090;0;100;2.3
MAT01750929;5-747912-2;7300090;0;0;3.61
MAT01751301;279-ER741K2JT;7300090;0;0;0.81
MAT01751301;279-ER741K2JT;7300090;10;0;0.599
MAT01751301;279-ER741K2JT;7300090;100;0;0.414
MAT01751968;571-2345832-2;7300090;0;0;15.46
MAT01752012;UT001619SH;7300090;0;0;16.56
MAT01752015;350561-3;7300090;0;1000;39
MAT01752015;350561-3;7300090;7000;1000;0.039
MAT01752015;350561-3;7300090;14000;1000;0.038
MAT01752143;829-15304732-R;7300090;0;0;0.05
MAT01752273;571-1871303-1;7300090;0;0;0.08
MAT01752367;172708-0102;7300090;0;100;23.9
MAT01752574;798-HR2212WTPA20S73;7300090;10;0;53.8
MAT01752574;798-HR2212WTPA20S73;7300090;25;0;52.12
MAT01752574;798-HR2212WTPA20S73;7300090;0;0;57.16
MAT01752605;571-1318105-1-CT;7300090;0;0;0.1
MAT01752605;571-1318105-1-CT;7300090;100;0;0.098
MAT01752681;UT0W71210SH6;7300090;0;0;29.29
MAT01752739;649-UT018JCL;7300090;0;0;36.46
MAT01752740;649-UT014JCL;7300090;0;0;18.7
MAT01752784;47320000;7300090;0;0;6.97
MAT01753291;43640-0201;7300090;0;0;0.26
MAT01753376;571-102095-3-MR;7300090;0;1000;191
MAT01754100;538-172708-0004;7300090;0;0;0.42
MAT01754136;538-172063-0312;7300090;0;0;0.31
MAT01754150;538-172709-2002;7300090;100;0;0.123
MAT01754150;538-172709-2002;7300090;0;0;0.21
MAT01754150;538-172709-2002;7300090;10;0;0.17
MAT01754196;654-MS34204;7300090;0;0;1.56
MAT01754211;571-2305570-1;7300090;0;0;185
MAT01754308;538-106115-1106;7300090;0;0;21.39
MAT01754473;1028-017-0005;7300090;0;0;5
MAT01754497;PXF6050B;7300090;0;0;42.41
MAT01754890;654-HVSL1000083A035;7300090;0;0;155.76
MAT01754894;571-DT06-08SA-C017;7300090;0;0;5.95
MAT01755001;22012051;7300090;0;0;0.29
MAT01755037;PL282X-301-50-5;7300090;0;0;149.05
MAT01755638;566-0906UMC201;7300090;0;0;50.01
MAT01755638;566-0906UMC201;7300090;5;0;47.47
MAT01755638;566-0906UMC201;7300090;100;0;40.3
MAT01756208;538-105415-0002;7300090;2000;100;174
MAT01756208;538-105415-0002;7300090;0;100;10.7
MAT01756208;538-105415-0002;7300090;1000;100;95
MAT01757248;178289-4;7300090;100;0;0.867
MAT01757248;178289-4;7300090;0;0;1.37
MAT01757248;178289-4;7300090;10;0;1.14
MAT01757401;60413-1 (Cut Strip);7300090;0;0;0.188
MAT01757425;1-967590-1;7300090;0;0;0.188
MAT01757427;64319-1211;7300090;0;0;10.66
MAT01757733;538-39-01-4020;7300090;0;0;0.196
MAT01723673;42817-0042;7300090;0;0;1.66
MAT01725971;571-16405505;7300090;10;100;1.14
MAT01725971;571-16405505;7300090;0;100;18
MAT01727179;829-15326427;7300090;0;100;26.2
MAT01727753;829-15304720;7300090;0;100;20.6
MAT01731937;538-54280-0809;7300090;0;100;25.98
MAT01736375;571-1318986-6;7300090;0;0;1.87
MAT01740371;571-1734372-1;7300090;0;0;0.99
MAT01740992;39-01-2125;7300090;0;0;0.38
MAT01741009;0022013037;7300090;0;0;0.06
MAT01741450;1-968855-3;7300090;0;0;0.12
MAT01742062;105300-1200 (Mouser Reel);7300090;0;0;0.12
MAT01742676;206966-9;7300090;0;0;3.3
MAT01742679;213605-1;7300090;0;0;0.16
MAT01742958;654-MS3108A18-1S;7300090;0;0;30.28
MAT0174319;571-1534809-1;7300090;0;0;9.77
MAT01743513;538-02-09-1104;7300090;0;0;0.13
MAT01743779;Amphenol RT00128PNH-K;7300090;0;0;13.68
MAT01743779;Amphenol RT00128PNH-K;7300090;10;0;12.7
MAT01743779;Amphenol RT00128PNH-K;7300090;100;0;9.77
MAT01744016;538-501334-0100;7300090;0;0;0.06
MAT01744166;538-19-09-2157;7300090;0;0;0.94
MAT01744510;561618081;7300090;0;1000;68.28
MAT01745537;C016 20H003 110 12;7300090;0;0;9.83
MAT01745537;C016 20H003 110 12;7300090;10;0;8.97
MAT01745537;C016 20H003 110 12;7300090;25;0;8.74
MAT01745666;571-293737-1;7300090;0;0;2.56
MAT01746365;538-02-08-2004;7300090;0;0;0.03
MAT01746365;538-02-08-2004;7300090;250;0;0.031
MAT01747919;798-MDF97-22SC;7300090;0;0;0.24
MAT01748045;16020087;7300090;0;0;0.08
MAT01748047;16020087;7300090;0;0;0.08
MAT01748156;654-SP24W1F;7300090;0;0;0.44
MAT01748156;654-SP24W1F;7300090;10;0;0.394
MAT01748156;654-SP24W1F;7300090;100;0;0.34
MAT01748291;43645-0900;7300090;0;0;1.12
MAT01748420;602-5108C-100;7300090;0;0;21.88
MAT01748904;571-2-1747276-3;7300090;0;0;1.27
MAT01748925;523-17E-1725-2;7300090;0;0;5.47
MAT01748934;649-UT012AD;7300090;0;0;15.15
MAT01748934;649-UT012AD;7300090;5;0;14.62
MAT01748934;649-UT012AD;7300090;10;0;14.07
MAT01749179;654-PT02E-14-18P;7300090;0;0;25.49
MAT01749195;2-963210-1 // 571-2-963210-1;7300090;0;0;2.54
MAT01749197;828904-1;7300090;0;0;0.17
MAT01749431;798-HR10A-7P-6SC73;7300090;0;0;14.15
MAT01749431;798-HR10A-7P-6SC73;7300090;10;0;12.54
MAT01749431;798-HR10A-7P-6SC73;7300090;100;0;10.93
MAT01749649;571-D38999/26WA35PN;7300090;0;0;38.94
MAT01749814;538-14-60-0058;7300090;0;0;0.98
MAT01749982;538-50-57-9011;7300090;0;0;0.49
MAT01750308;806-KPJX-CM-4S;7300090;0;0;4.86
MAT01750572;651-3190580;7300090;0;0;0.39
MAT01750579;IPD1-09-D-K;7300090;0;0;0.88
MAT01750584;8638PSS4005LF;7300090;0;0;3.46
MAT01750915;988-050-130L121;7300090;0;0;11.09
MAT01750923;5748676-3;7300090;0;0;6
MAT01750925;205205-2;7300090;0;0;0.83
MAT01750927;83421-9014;7300090;0;0;13.78
MAT01724504;656-SRCN6A25-24S;7300090;0;0;11.43
MAT01724504;656-SRCN6A25-24S;7300090;10;0;10.28
MAT01724504;656-SRCN6A25-24S;7300090;25;0;10
MAT01726044;538-50147-8000;7300090;0;0;0.23
MAT01727178;829-15326654-B;7300090;0;0;2.06
MAT01727662;571-1827589-2;7300090;0;0;0.29
MAT01727662;571-1827589-2;7300090;100;0;0.186
MAT01727662;571-1827589-2;7300090;500;0;0.163
MAT01727941;571-281838-6;7300090;0;0;0.39
MAT01730093;654-97-3106A-24-5P;7300090;0;0;52.96
MAT01730093;654-97-3106A-24-5P;7300090;10;0;0.103
MAT01730093;654-97-3106A-24-5P;7300090;100;0;0.071
MAT01732167;571-3-643817-3;7300090;0;0;0.34
MAT01732351;571-19656401;7300090;0;0;1.1
MAT01734712;571-1-967623-6;7300090;0;0;1.18
MAT01734771;571-969005-3;7300090;0;0;0.29
MAT01735156;534-941;7300090;0;0;1.68
MAT01737180;656-JN2AS04MK2R;7300090;0;0;12.03
MAT01738474;1060-16-0144;7300090;0;0;0.25
MAT01739242;656-JL05-6A20-29P-R;7300090;0;0;48.75
